@relation xalan-2-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {0,1}

@data
2,6,0,7,12,1,0,7,2,2,70,0,0,0.984615,0.75,1,6,34,1,0.5,0
6,2,0,4,25,13,2,2,5,0.9,104,1,1,0.871795,0.305556,1,1,16,2,1,0
14,3,0,10,41,27,1,9,14,0.666667,290,1,2,0.937799,0.25,3,4,19.5,2,1.0714,0
5,4,0,19,19,10,0,19,5,2,85,0,0,0.96,0.333333,3,12,16,2,1.2,0
10,3,4,123,15,27,119,6,9,0.888889,87,1,2,0.898734,0.288889,0,0,6.9,1,0.8,0
42,3,0,29,135,617,4,28,27,0.86031,2387,1,9,0.830508,0.136298,2,6,55.571429,26,2.0952,0
7,2,0,15,50,11,0,15,5,0.911111,555,0.866667,0,0.545455,0.351852,0,0,76.142857,2,1,1
2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.666667,0,0,0,1,1,0
3,5,0,7,10,3,1,6,2,2,40,0,0,0.990698,0.583333,2,4,12.333333,1,0.6667,0
8,5,0,17,66,28,1,16,6,2,543,0,0,0.888889,0.475,3,8,66.875,1,0.875,1
11,3,0,8,20,29,5,4,11,0.825,114,1,0,0.951456,0.340909,2,5,9,2,1,0
26,1,0,8,42,243,1,7,25,0.693333,205,1,2,0,0.258242,0,0,6.769231,1,0.9615,1
9,2,7,21,15,36,15,8,8,2,51,0,0,0.789474,0.285714,1,7,4.666667,2,1.1111,0
2,2,1,33,26,1,24,29,2,2,213,0,0,0.98913,0.642857,0,0,105.5,5,2.5,0
8,1,0,12,67,8,0,12,4,0.74026,683,1,1,0,0.309524,0,0,83,18,4.5,0
5,3,0,14,49,4,1,14,4,0.5,319,1,1,0.9375,0.36,2,5,62.6,13,3.2,0
6,1,0,4,17,0,3,1,6,0.7,183,0,0,0,0.722222,0,0,28.5,7,1.8333,0
56,2,1,21,84,714,14,7,56,0.739394,839,0.833333,1,0.363636,0.160714,1,4,13.875,9,1.5714,0
3,4,0,1,4,1,0,1,2,0.5,614,0,0,0.97619,1,0,0,203.333333,1,0.3333,0
1,1,0,6,1,0,6,1,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,0,1,0,0,0,1,2,2,0,0,0,1,0,0,0,1,1,0
7,5,0,7,18,0,1,6,7,0,115,0,0,0.978417,0.285714,3,14,15.285714,1,0.4286,0
10,2,0,7,19,0,2,5,10,0.111111,58,0,1,0.689655,0.325,1,1,4.7,1,0.9,0
48,1,0,8,106,388,1,7,26,0.895703,2321,0.901961,2,0,0.236702,0,0,46.291667,21,1.8958,0
2,3,0,4,5,1,1,3,2,2,16,0,0,0.97619,0.75,1,1,7,1,0.5,0
6,3,0,42,56,0,1,41,5,0.55,531,1,4,0.923077,0.361111,2,4,86.833333,4,1.6667,1
1,1,0,5,1,0,5,0,0,2,136,0,0,0,0,0,0,119,0,0,0
8,2,1,6,11,0,4,2,8,0.214286,105,1,0,0.666667,0.5,1,6,11.875,4,1.125,0
3,1,0,4,9,1,4,0,2,1.456897,583,0.896552,0,0,0.5,0,0,174,3,1,0
17,1,0,3,33,0,3,0,17,0.4875,305,1,0,0,0.264706,0,0,16.647059,4,1.2941,0
13,1,0,11,41,38,8,4,12,0.944444,265,1,2,0,0.269231,0,0,18.923077,9,1.6923,0
3,3,0,7,8,3,2,5,3,2,23,0,0,0.952381,0.555556,1,1,6.666667,1,0.6667,0
2,1,0,2,3,1,2,0,0,1,38,0,1,0,1,0,0,16,2,1,0
4,4,0,38,46,0,1,37,3,0.083333,562,1,4,0.969697,0.458333,3,7,138.5,12,3.5,1
21,1,1,12,29,76,11,1,20,0.858333,409,0.166667,0,0,0.404762,0,0,18.190476,8,1.6667,1
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1,1,0
9,2,0,6,25,0,1,5,8,0.607143,369,1,2,0.555556,0.361111,1,6,39.222222,6,2.6667,1
43,1,0,13,91,783,4,9,1,0.962585,1954,0.166667,2,0,0.328042,0,0,43.465116,19,1.5349,1
10,1,0,26,10,45,26,0,10,1.111111,11,0,0,0,0.55,0,0,0,1,1,0
1,4,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,0,0,0
12,1,0,15,62,66,2,13,9,0.909091,477,0,0,0,0.25,0,0,38.583333,5,2,1
1,1,0,1,2,0,1,0,1,2,12,0,0,0,1,0,0,9,0,0,0
11,3,0,22,33,15,2,20,10,0.825,168,0.5,2,0.951456,0.191919,2,9,13.909091,3,1.0909,0
5,1,0,0,18,4,0,0,3,0.625,157,1,0,0,0.25,0,0,30,6,1.8,0
1,1,0,1,2,0,1,0,1,2,16,0,0,0,1,0,0,12,0,0,0
21,1,2,43,49,196,36,8,17,0.975,299,0.4,1,0,0.15,0,0,12.761905,10,1.3333,1
29,5,0,2,73,300,1,2,21,0.879252,782,0.857143,1,0.942149,0.344828,3,5,25.241379,10,1.5172,0
3,4,0,1,4,1,0,1,2,0.5,499,0,0,0.97619,1,0,0,165,1,0.3333,0
7,1,0,3,19,0,3,1,6,0.25,432,1,1,0,0.464286,0,0,60.142857,3,1.4286,0
9,1,0,1,15,36,0,1,9,2,69,0,0,0,0.111111,0,0,6.666667,2,1,0
20,2,0,13,49,0,2,11,18,0.447368,186,0,2,0.540541,0.258333,1,1,8.2,2,0.9,0
42,1,0,10,85,0,4,6,42,0.783972,437,1,2,0,0.23545,0,0,9.238095,6,1.1905,0
20,2,0,41,44,190,18,30,19,2,353,0,0,0.634615,0.230769,2,4,16.65,8,1.45,1
10,3,0,36,70,7,1,35,7,0.644444,658,1,2,0.861538,0.3,1,9,64.3,13,4,0
4,3,0,9,8,6,1,8,3,1,30,1,0,0.952381,0.4,2,4,6,1,0.75,0
27,3,0,48,58,351,8,42,26,2,393,0,0,0.57377,0.20202,1,3,13.555556,8,1.6296,0
5,1,0,5,33,0,3,4,5,0.65,328,1,2,0,0.466667,0,0,63.6,3,1.6,0
3,4,0,5,5,1,1,4,3,1,25,1,0,0.975904,0.466667,0,0,6.666667,1,0.6667,0
6,7,0,26,39,5,0,26,6,0.6,289,1,0,0.95935,0.333333,4,8,46.833333,4,1.5,0
4,3,0,6,5,0,6,0,2,1.095238,54,0,0,0.944444,0.666667,0,0,10.75,1,0.25,0
5,4,0,10,15,10,3,7,5,2,62,0,0,0.9819,0.6,3,7,11.4,3,1.2,1
7,1,0,29,17,0,26,3,7,0,155,1,0,0,0.464286,0,0,21,4,1.8571,0
14,1,28,40,22,55,38,2,12,0.807692,140,1,0,0,0.404762,0,0,8.571429,3,1.2143,0
33,4,2,42,74,516,24,19,31,0.96875,600,0,6,0.801471,0.173611,3,29,17,2,1.1515,1
3,3,0,4,4,3,0,4,3,2,9,0,0,0.95,0.5,1,6,2,1,0.6667,0
12,4,3,16,17,52,7,9,12,0.840909,96,1,1,0.887755,0.236111,2,3,6.666667,6,1.4167,0
5,4,3,19,21,0,3,16,5,0.25,149,1,2,0.969697,0.366667,3,14,28.4,4,1.2,0
3,4,0,1,4,1,0,1,2,0.5,583,0,0,0.97619,1,0,0,193,1,0.3333,0
2,4,0,6,9,1,1,5,1,2,27,0,0,0.995261,0.625,2,2,12.5,1,0.5,0
66,1,0,77,66,2145,74,3,66,1.015385,81,0,0,0,0.277056,0,0,0,1,1,0
6,4,0,36,48,15,10,30,5,2,282,0,0,0.938272,0.4,2,12,46,8,3.6667,0
3,3,0,6,7,3,1,5,3,2,40,0,0,0.953488,0.555556,2,2,12.333333,1,0.6667,0
28,1,0,54,49,268,50,4,28,0.562963,732,0.8,0,0,0.285714,1,1,24.964286,9,1.4286,0
7,2,0,1,13,0,1,0,7,0,213,1,0,0.684211,0.342857,1,2,29.285714,1,0.8571,0
13,1,5,42,14,78,40,13,13,2,40,0,0,0,0.203297,0,0,2.076923,1,0.9231,0
42,2,7,146,68,819,133,15,40,0.95393,465,0.111111,0,0.428571,0.120879,2,8,9.857143,4,1.1667,0
2,1,0,0,4,1,0,0,2,1,47,1,0,0,1,0,0,18,1,0.5,0
2,5,0,7,8,1,0,7,2,2,34,0,0,0.982456,0.75,1,6,16,1,0.5,0
4,3,0,6,15,6,1,5,4,2,39,0,0,0.959459,0.5,2,12,8.75,1,0.75,0
22,1,0,27,42,0,20,9,21,0.68254,476,0.333333,2,0,0.365079,0,0,20.363636,3,1,0
3,4,0,27,5,3,27,0,3,2,16,0,0,1,0.555556,0,0,4.333333,0,0,0
8,3,0,11,21,8,3,8,7,0.714286,137,0,0,0.844444,0.285714,2,8,15.625,3,1.125,1
9,5,0,11,39,36,1,10,6,2,195,0,0,0.963801,0.314815,4,7,20.666667,16,3,1
11,3,15,33,20,0,25,8,10,0.3,113,0,1,0.791667,0.345455,2,4,9.181818,6,1.5455,0
4,3,0,21,30,0,5,17,4,0.833333,127,1,0,0.949153,0.416667,1,3,30.25,4,2,0
123,2,0,106,355,6589,67,56,115,0.939696,3260,0.714286,18,0.097015,0.05765,1,2,25.162602,5,1.3821,1
2,3,0,4,4,1,1,3,2,2,13,0,0,0.97619,0.75,1,1,5.5,1,0.5,0
8,1,0,1,8,28,0,1,8,2,8,0,0,0,0.28125,0,0,0,1,1,0
8,2,0,9,39,10,1,9,7,0.714286,180,1,1,0.915663,0.267857,1,1,21,8,1.75,0
82,1,0,48,254,2129,6,44,72,0.868056,3012,0.625,5,0,0.086934,0,0,35.536585,4,1.1707,0
18,6,1,57,94,31,9,49,11,0.810458,1125,1,1,0.853448,0.261905,3,8,61,6,2.6111,0
52,1,5,111,110,942,87,36,10,0.911765,942,1,6,0,0.163993,0,0,16.884615,6,1.75,0
1,1,0,8,1,0,8,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,0,2,0,0,0,1,2,10,0,0,0,1,0,0,3,0,0,0
22,1,2,6,49,71,4,5,20,0.706349,827,0.833333,4,0,0.272727,1,1,36.045455,16,2.7727,0
4,2,1,1,9,2,1,0,3,0.666667,91,1,0,0.942857,0.666667,2,3,21.25,3,1,1
4,2,0,3,9,0,0,3,4,0,66,0,1,0.966667,0.5625,0,0,15.25,1,0.25,0
5,2,1,5,16,2,1,5,4,0.625,107,0.5,1,0.823529,0.5,1,4,20,9,2.2,0
21,3,0,3,43,0,0,3,19,0.5,498,1,0,0.5,0.220238,1,2,22.47619,3,1.0476,0
9,1,0,3,24,0,2,2,0,0.892857,353,0,1,0,0.62963,0,0,37.444444,3,1.4444,0
7,3,0,15,36,0,0,15,6,0.814815,242,0.444444,2,0.934211,0.285714,2,8,32.285714,3,1.1429,0
1,4,0,0,2,0,0,0,1,2,11,0,0,1,1,0,0,7,0,0,0
97,1,1,64,139,4474,51,14,72,0.941667,2010,0.96,14,0,0.151442,0,0,19.463918,12,2.1031,0
13,2,0,3,36,0,1,2,13,0.083333,369,0,1,0.5,0.230769,0,0,27.307692,2,1,0
6,3,0,27,31,0,2,25,6,0.333333,213,1,2,0.934211,0.305556,2,7,34,4,1.3333,0
71,2,0,47,152,2163,25,25,33,0.941327,1340,0.75,6,0.197674,0.108036,1,1,17.478873,7,1.3239,1
14,1,0,9,51,27,1,8,10,0.596154,755,0.05,0,0,0.162393,0,0,51.5,9,1.5,0
4,1,0,2,5,0,2,0,4,0.666667,28,1,0,0,0.5,0,0,5.25,1,0.75,0
5,2,10,27,17,10,16,11,4,2,56,0,0,0.931034,0.44,1,4,10.2,1,0.8,0
4,1,0,6,23,6,2,4,3,2,157,0,0,0,0.4,0,0,38.25,1,0.75,0
10,1,0,53,10,45,53,0,10,1.111111,11,0,0,0,0.4,0,0,0,1,1,0
12,1,0,5,23,54,0,5,12,0.454545,139,1,1,0,0.533333,0,0,10.5,1,0.8333,0
2,1,0,1,7,0,0,1,2,0,35,1,2,0,0.666667,0,0,15.5,2,1,0
